,name,rating,reviews,cinfo
2690,Pierian Services,3.5,250,Financial Services | 1k-5k Employees | 21 years old | Bangalore/Bengaluru +15 more
2691,Wartsila,4.5,250,Ports & Shipping | 501-1k Employees | 189 years old | Helsinki +35 more
2692,Himatsingka Seide,3.9,250,Fashion & Textile | 1k-5k Employees | Public | 38 years old | Bangalore/Bengaluru +7 more
2693,Capital Small Finance Bank,4.2,250,Banking | 1k-5k Employees | 24 years old | Jalandhar +48 more
2694,Sun Pharma Laboratories,4.2,250,Pharma | 10k-50k Employees | 40 years old | Mumbai +38 more
2695,L&T Realty,4.3,250,Real Estate | 201-500 Employees | Mumbai +8 more
2696,Zeetech Management And Marketing,4.4,250,1-10 Employees | 12 years old | Dehradun +35 more
2697,M Baazar,3.9,250,Retail | Kolkata +66 more
2698,Mashreq Global Services,3.4,250,Banking | 1k-5k Employees | 18 years old | Dubai +7 more
2699,Bses Yamuna Power,3.4,250,Power | 501-1k Employees | 21 years old | New Delhi +1 more
2700,Zeetech Management And Marketing,4.4,250,1-10 Employees | 12 years old | Dehradun +35 more
2701,Raptakos Brett and Company,3.5,250,Pharma | 201-500 Employees | Public | 93 years old | Mumbai +40 more
2702,AQuity Solutions India,3.7,249,IT Services & Consulting | 1k-5k Employees | 24 years old | Cary +13 more
2703,Alfa Laval,4,249,Industrial Machinery | 1k-5k Employees | Forbes Global 2000 | 140 years old | Lund +19 more
2704,Corona Remedies,4.1,249,Healthcare | 501-1k Employees | 19 years old | Ahmedabad +46 more
2705,Indian Political Action Committee,2.8,249,Other | 1k-5k Employees | 8 years old | Hyderabad/Secunderabad +17 more
2706,LEAP India,4.4,249,Logistics | 51-200 Employees | Startup | 10 years old | Coimbatore +24 more
2707,SRMB SRIJAN,3.6,249,Building Material | 201-500 Employees | 72 years old | Kolkata +35 more
2708,Clariant Chemicals,4.2,249,Chemicals | 501-1k Employees | Public | 28 years old | Muttenz +18 more
2709,Reliance Home Finance,4.5,249,NBFC | 501-1k Employees | Public | 15 years old | Mumbai +46 more
2710,Dun & Bradstreet,3.5,249,Analytics & KPO | 1k-5k Employees | 182 years old | Short Hills +15 more
2711,Kores,3.8,249,FMCG | 1k-5k Employees | Conglomerate | 87 years old | Mumbai +29 more
2712,Nature's Basket,3.8,249,Internet | 501-1k Employees | 18 years old | Mumbai +8 more
2713,Parksons Packaging,4,249,1k-5k Employees | 27 years old | Mumbai +16 more
2714,GS Engineering & Construction,4.1,248,Engineering & Construction | 201-500 Employees | 54 years old | Seoul +14 more
2715,Calsoft,3.2,248,IT Services & Consulting | 1k-5k Employees | 25 years old | San Jose +5 more
2716,Pole To Win,3.6,248,Gaming | 1k-5k Employees | 29 years old | Los Angeles  +4 more
2717,BCH Electric,4.2,248,Electrical Equipment | 501-1k Employees | 58 years old | Delhi/NCR +25 more
2718,Neilsoft,3.7,248,Engineering & Construction | 1k-5k Employees | 30 years old | Pune +7 more
2719,Saama Technologies,3.7,248,IT Services & Consulting | 201-500 Employees | 26 years old | Campbell +5 more
2720,CK Birla Group,4.2,248,Building Material | 1k-5k Employees | Conglomerate | 161 years old | Delhi/NCR +43 more
2721,Sotc Travel Services,3.8,248,Travel & Tourism | 1k-5k Employees | 74 years old | Mumbai +30 more
2722,Chettinad Cements,3.8,248,Building Material | 1k-5k Employees | 61 years old | Chennai +44 more
2723,AIS Glass Solutions,3.8,248,Building Material | 51-200 Employees | 39 years old | Gurgaon +28 more
2724,Kaizen IT Services,3.6,248,IT Services & Consulting | 1k-5k Employees | 24 years old | Kolkata +47 more
2725,Automatic Infotech,4.4,248,IT Services & Consulting | 201-500 Employees | 18 years old | Pune +8 more
2726,KRBL,3.8,248,FMCG | 501-1k Employees | Public | 134 years old | Noida +24 more
2727,Sunstone,3.9,248,Education & Training | 501-1k Employees | 4 years old | Gurgaon +17 more
2728,Easyday Club,4.5,247,Retail | 1-10 Employees | 15 years old | Mumbai +67 more
2729,Dr. Agarwal's Eye Hospital,4,247,Healthcare | 1k-5k Employees | Public | 66 years old | Chennai +41 more
2730,E2OPEN,3.5,247,Software Product | 1k-5k Employees | 23 years old | AUstin +4 more
2731,IIT Bombay,4.5,247,Education & Training | 501-1k Employees | Public | 65 years old | Mumbai +7 more
2732,Yalamanchili Software Exports,3.5,247,Software Product | 51-200 Employees | Public | 22 years old | Chennai +12 more
2733,Call 2 Connect,3.4,247,Telecom | 501-1k Employees | 20 years old | Mumbai +13 more
2734,Lotte India Corporation,3.9,247,FMCG | 501-1k Employees | Public | 19 years old | Chennai +60 more
2735,BharatPe,3.7,246,FinTech | 201-500 Employees | Indian Unicorn | 5 years old | Bangalore +55 more
2736,ShopKirana,3.7,246,Software Product | 501-1k Employees | Startup | 9 years old | Indore +20 more
2737,Sharda University,3.6,246,Education & Training | 501-1k Employees | 14 years old | Greater Noida +10 more
2738,Zyoin,4,246,Recruitment | 201-500 Employees | 18 years old | Bangalore +4 more
