,name,rating,reviews,cinfo
0,TCS,3.8,67k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more
1,Accenture,4.1,42.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +151 more
2,Cognizant,3.9,38.5k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +124 more
3,Wipro,3.8,35.6k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +253 more
4,ICICI Bank,4,31k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1220 more
5,HDFC Bank,3.9,30.7k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1455 more
6,Infosys,3.9,29.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +152 more
7,Capgemini,3.8,27.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +100 more
8,Tech Mahindra,3.7,25.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more
9,HCLTech,3.7,24.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +161 more
10,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +88 more
11,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more
12,Concentrix Corporation,3.9,20.1k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +98 more
13,Amazon,4.1,19.3k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more
14,Reliance Jio,3.9,18.6k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more
15,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more
16,Larsen & Toubro Limited,4,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +599 more
17,Reliance Retail,3.9,16.8k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +930 more
18,HDB Financial Services,4,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more
19,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +139 more
20,Vodafone Idea,4.2,14.6k,5k-10k Employees | Public | 5 years old | Mumbai +612 more
21,BYJU'S,3.1,13.5k,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +296 more
22,Deloitte,4,13.4k,Accounting & Auditing | 1 Lakh+ Employees | 178 years old | London +150 more
23,Kotak Mahindra Bank,3.8,13k,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +534 more
24,Reliance Industries,4,12.3k,Oil & Gas | Public | 46 years old | Navi Mumbai +610 more
25,Bharti Airtel,4,11.3k,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +612 more
26,Tata Motors,4.2,10.4k,Automobile | 10k-50k Employees | Public | 78 years old | Pune +431 more
27,Flipkart,4.1,9.1k,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +509 more
28,WNS,3.5,8.9k,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more
29,iEnergizer,4.5,8.9k,BPO | 10k-50k Employees | 23 years old | Noida +23 more
30,IndusInd Bank,3.7,8.4k,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +643 more
31,Mahindra & Mahindra,4.1,8.4k,Automobile | 1 Lakh+ Employees | Public | 78 years old | Mumbai +461 more
32,Ernst & Young,3.6,8.1k,Accounting & Auditing | 50k-1 Lakh Employees | 21 years old | London +92 more
33,Infosys BPM,3.9,7.7k,BPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +58 more
34,DXC Technology,3.8,7.7k,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +62 more
35,IDFC FIRST Bank,4,7.3k,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +518 more
36,Conneqt Business Solutions,3.7,7.1k,IT Services & Consulting | 10k-50k Employees | 21 years old | Mumbai +191 more
37,LTIMindtree,3.7,6.8k,IT Services & Consulting | 50k-1 Lakh Employees | Public | 24 years old | Bangalore/Bengaluru +44 more
38,Bajaj Finserv,4,6.7k,Insurance | 10k-50k Employees | Public | 16 years old | Pune +814 more
39,Hinduja Global Solutions,3.9,6.5k,Software Product | 10k-50k Employees | Public | 23 years old | Bangalore/Bengaluru +87 more
40,HSBC Group,4.1,6.5k,Banking | 10k-50k Employees | Forbes Global 2000 | 21 years old | Pune +55 more
41,Mphasis,3.5,6.4k,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +42 more
42,PwC,3.6,6.4k,Accounting & Auditing | 10k-50k Employees | Conglomerate | 143 years old | London +83 more
43,Startek,3.2,6.3k,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +64 more
44,HDFC Life,4,6.3k,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +500 more
45,Ericsson,4.3,6.2k,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +141 more
46,Maruti Suzuki,4.2,6.1k,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +343 more
47,Yes Bank,3.9,5.8k,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +419 more
48,Asian Paints,4.1,5.8k,Chemicals | 5k-10k Employees | Public | 81 years old | Mumbai +387 more
49,Dr. Reddy's,4.1,5.7k,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +152 more
50,Cipla Pharmaceutical,4.1,5.7k,Pharma | 10k-50k Employees | Public | 88 years old | Mumbai +220 more
51,Sutherland Global Services,3.8,5.6k,IT Services & Consulting | 10k-50k Employees | 37 years old | Pittsford +48 more
52,AU Small Finance Bank,4.3,5.4k,Banking | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +349 more
53,NTT DATA,4,5.4k,IT Services & Consulting | 10k-50k Employees | 35 years old | Chiyoda City +47 more
54,EXL Service,3.8,5.4k,Analytics & KPO | 10k-50k Employees | 24 years old | New York City +41 more
55,ICICI Prudential Life Insurance,4.1,5.3k,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +433 more
56,Jana Small Finance Bank,3.8,5.2k,Banking | 10k-50k Employees | Public | 17 years old | Bangalore/Bengaluru +332 more
57,Bandhan Bank,3.8,5.2k,Banking | 50k-1 Lakh Employees | Public | 22 years old | Kolkata +689 more
58,UltraTech Cement,4.2,5.2k,Building Material | 10k-50k Employees | Public | 40 years old | Mumbai +409 more
59,Paytm,3.5,5.2k,FinTech | 10k-50k Employees | Public | 13 years old | Noida +286 more
60,HCL Group,3.7,5.1k,IT Services & Consulting | 1 Lakh+ Employees | 47 years old | Chennai +69 more
61,Lupin,4.1,5.1k,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +155 more
62,Bajaj Finance,4,5k,NBFC | 10k-50k Employees | 36 years old | Pune +720 more
63,Udaan,4,5k,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +328 more
64,Indian Army,4.7,4.9k,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +301 more
65,L&T Infotech,3.8,4.9k,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +74 more
66,Zydus Lifesciences,4.1,4.8k,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +139 more
67,ITC,3.9,4.8k,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +280 more
68,Wells Fargo,4.1,4.7k,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more
69,JP Morgan Chase,4.2,4.7k,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 23 years old | New York +32 more
70,Delhivery,4,4.6k,10k-50k Employees | Fortune India 500 | 12 years old | Delhi +575 more
71,FIS,3.9,4.6k,FinTech | 10k-50k Employees | 55 years old | Jacksonville +38 more
72,Hindustan Unilever,4.2,4.6k,FMCG | 10k-50k Employees | Public | 151 years old | London +402 more
73,Amazon Development Centre India,4.2,4.6k,Internet | 10k-50k Employees | Hyderabad/Secunderabad +58 more
74,IIFL Finance,3.9,4.5k,NBFC | 10k-50k Employees | Public | 28 years old | Mumbai +622 more
75,Quess,4,4.5k,Recruitment | 1 Lakh+ Employees | Public | 16 years old | Bangalore +470 more
76,TATA Steel,4.2,4.4k,Iron & Steel | 1 Lakh+ Employees | Public | 116 years old | Mumbai +148 more
77,KPMG India,3.6,4.3k,Management Consulting | 10k-50k Employees | 36 years old | Bengaluru/Bangalore +73 more
78,Hexaware Technologies,3.7,4.3k,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 33 years old | Mumbai +39 more
79,Sun Pharmaceutical Industries,4.1,4.3k,Pharma | 10k-50k Employees | Public | 40 years old | Mumbai +182 more
80,Home Credit Finance,4.1,4.2k,Financial Services | 10k-50k Employees | 11 years old | Gurugram +109 more
81,JSW Steel,3.9,4.2k,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +122 more
82,Ujjivan Small Finance Bank,4.1,4.1k,Banking | 10k-50k Employees | Public | 6 years old | Bangalore/Bengaluru +412 more
83,Oracle,3.9,4.1k,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +39 more
84,Shapoorji Pallonji Group,4.2,4.1k,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +153 more
85,Max Life Insurance,4.1,4.1k,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +362 more
86,OPPO,3.9,4.1k,Consumer Electronics & Appliances | 10k-50k Employees | Public | 19 years old | Dongguan +354 more
87,Aurobindo Pharma,4,4k,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +72 more
88,Muthoot Finance,3.5,4k,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +586 more
89,eClerx,3.5,4k,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +17 more
90,Ashok Leyland,4.1,4k,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +198 more
91,Shriram Transport Finance,4.1,4k,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +754 more
92,Capgemini Technology Services India Limited,4,4k,IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +34 more
93,Tata Projects,4.2,4k,Engineering & Construction | 5k-10k Employees | Public | 44 years old | Mumbai +223 more
94,Siemens,4.2,4k,Power | 5k-10k Employees | Public | 176 years old | Munich +118 more
95,Apollo Hospitals,4.1,4k,Healthcare | 10k-50k Employees | Public | 40 years old | Chennai +174 more
96,Vivo,4,3.9k,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +357 more
97,JLL,4.2,3.9k,Real Estate | 10k-50k Employees | Forbes Global 2000 | 26 years old | Mumbai +67 more
98,First Source,3.8,3.8k,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +49 more
99,L&T Construction,4,3.8k,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +321 more
100,JustDial,3.5,3.8k,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +161 more
101,Hero MotoCorp,4.1,3.7k,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +299 more
102,Omega Healthcare,3.7,3.7k,Healthcare | 10k-50k Employees | 20 years old | Florida +36 more
103,Hewlett-Packard Enterprise,4.3,3.7k,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +94 more
104,Megha Engineering & Infrastructures,4,3.6k,Engineering & Construction | 5k-10k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +266 more
105,Mahindra & Mahindra Financial Services,4.3,3.6k,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +617 more
106,Cyient,3.7,3.6k,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +29 more
107,Bajaj Allianz Life Insurance,4.1,3.6k,Insurance | 10k-50k Employees | 22 years old | Pune +471 more
108,D Mart,3.9,3.5k,Retail | 10k-50k Employees | Fortune India 500 | 23 years old | Mumbai +199 more
109,Indiamart Intermesh,3.6,3.5k,Internet | 1k-5k Employees | 27 years old | Noida +129 more
110,Hyundai Motor,4.3,3.5k,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +257 more
111,BigBasket,4,3.5k,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +104 more
112,TVS Motor,4,3.4k,Automobile | 5k-10k Employees | Public | 44 years old | Chennai +257 more
113,Reliance Communications,3.9,3.4k,Telecom | 201-500 Employees | Public | 21 years old | Navi Mumbai +406 more
114,Atos Syntel,3.5,3.3k,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +18 more
115,Bosch,4.3,3.3k,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more
116,Manappuram Finance,3.9,3.3k,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +454 more
117,UST,3.9,3.3k,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +34 more
118,Standard Chartered Bank,3.9,3.3k,Banking | 10k-50k Employees | Fortune India 500 | 54 years old | London +58 more
119,Bosch Global Software Technologies,4.2,3.3k,Software Product | 10k-50k Employees | 33 years old | Gerlingen +26 more
120,Oyo Rooms,3.4,3.3k,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +111 more
121,Coforge,3.6,3.3k,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +81 more
122,Cummins,4.3,3.3k,Auto Components | 5k-10k Employees | Fortune India 500 | 61 years old | Columbus +94 more
123,SBI Cards & Payment Services,3.7,3.3k,1k-5k Employees | 25 years old | Gurgaon/Gurugram +305 more
124,BNY Mellon,4.1,3.2k,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 19 years old | New York City +14 more
125,Virtusa Consulting Services,3.8,3.2k,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +30 more
126,Nagarro,4.2,3.2k,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +34 more
127,IQVIA,4.1,3.2k,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +38 more
128,BT Group,4.1,3.2k,Telecom | 10k-50k Employees | Forbes Global 2000 | 177 years old | London +17 more
129,GlobalLogic,3.8,3.2k,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +29 more
130,SMFG India Credit,4.1,3.2k,NBFC | 10k-50k Employees | 16 years old | Mumbai +467 more
131,ICICI Lombard General Insurance Company,3.8,3.2k,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +237 more
132,Amdocs,4,3.2k,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +14 more
133,Schneider Electric,4.1,3.2k,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +99 more
134,Future Group,4.3,3.1k,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +198 more
135,CBRE,4.2,3.1k,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +64 more
136,Intelenet Global Services,3.7,3.1k,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more
137,L&T Technology Services,3.4,3.1k,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +38 more
138,Samsung,4.1,3.1k,Consumer Electronics & Appliances | 5k-10k Employees | Public | 85 years old | Seoul +399 more
139,State Bank of India,3.7,3k,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +446 more
140,Cholamandalam Investment & Finance,4.1,3k,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +577 more
141,Dell,4.1,3k,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +88 more
142,JBM Group,4,3k,Auto Components | 1k-5k Employees | Public | 40 years old | Gurgaon/Gurugram +82 more
143,Swiggy,3.9,3k,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +166 more
144,Ecom Express,4.1,3k,Logistics | 10k-50k Employees | 11 years old | Gurgaon +579 more
145,Ekart Logistics,4,3k,Logistics | 5k-10k Employees | 14 years old | San Francisco +512 more
146,Bajaj Auto,3.9,3k,Automobile | 5k-10k Employees | Public | 78 years old | Pune +226 more
147,SBI Life Insurance Company,3.8,2.9k,Insurance | 10k-50k Employees | 22 years old | Mumbai +493 more
148,Optum,4,2.9k,Healthcare | 10k-50k Employees | 46 years old | Prairie +25 more
149,KEC International,4.1,2.9k,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +251 more
150,Nagarjuna Construction Company,4.1,2.9k,Engineering & Construction | 5k-10k Employees | Public | 25 years old | Hyderabad/Secunderabad +206 more
151,Equitas Small Finance Bank,4.1,2.9k,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +325 more
152,Aditya Birla Fashion and Retail,4.2,2.9k,Retail | 10k-50k Employees | Fortune India 500 | 8 years old | Mumbai +214 more
153,Viatris,4.3,2.9k,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +66 more
154,Samvardhana Motherson Group,3.8,2.8k,Auto Components | 1k-5k Employees | Public | 37 years old | Noida +71 more
155,Muthoot Fincorp,4,2.8k,NBFC | 10k-50k Employees | Conglomerate | 136 years old | Trivandrum/Thiruvananthapuram +513 more
156,Piramal Capital Housing Finance,4.3,2.8k,NBFC | 1k-5k Employees | 3 years old | Mumbai +304 more
157,Godrej & Boyce Manufacturing,3.9,2.8k,Engineering & Construction | 10k-50k Employees | Fortune India 500 | 126 years old | Mumbai +126 more
158,Royal Enfield,4.2,2.8k,Automobile | 10k-50k Employees | 122 years old | Gurgaon/Gurugram +281 more
159,Tata Communications,4.1,2.8k,Telecom | 5k-10k Employees | Public | 37 years old | Mumbai +84 more
160,L&T Finance,4,2.8k,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +446 more
161,John Deere,4.3,2.8k,IT Services & Consulting | 5k-10k Employees | Fortune India 500 | 22 years old | Moline +111 more
162,LG Electronics,4,2.8k,Consumer Electronics & Appliances | 10k-50k Employees | Public | 65 years old | Seoul +230 more
163,Intas Pharmaceuticals,4.2,2.8k,Pharma | 10k-50k Employees | Fortune India 500 | 23 years old | Ahmedabad +109 more
164,Whitehat jr,3.5,2.7k,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +49 more
165,Varun Beverages,4,2.7k,Beverage | 5k-10k Employees | Public | 28 years old | Gurgaon/Gurugram +252 more
166,Thermax Limited,4.2,2.7k,Industrial Machinery | 1k-5k Employees | Public | 57 years old | Pune +158 more
167,Hetero Drugs,3.8,2.6k,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +37 more
168,Deutsche Bank,4.1,2.6k,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +34 more
169,Ford Motor,4.4,2.6k,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +104 more
170,Randstad,3.9,2.6k,1k-5k Employees | Conglomerate | 31 years old | Chennai +234 more
171,Sodexo,4.1,2.6k,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +124 more
172,Abbott Healthcare,4.1,2.6k,Pharma | 10k-50k Employees | Public | 32 years old | Illinois City +165 more
173,Havells,4.1,2.6k,Electrical Equipment | 5k-10k Employees | Public | 40 years old | Noida +165 more
174,Subros,3.9,2.6k,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +50 more
175,Macleods Pharmaceuticals,3.8,2.6k,Pharma | 10k-50k Employees | Public | 37 years old | Mumbai +86 more
176,VE Commercial Vehicles,4,2.6k,Automobile | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +121 more
177,UnitedHealth,4.1,2.6k,Healthcare | 10k-50k Employees | Forbes Global 2000 | 46 years old | Minnetonka +14 more
178,Persistent Systems,3.9,2.6k,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Pune +25 more
179,American Express,4.3,2.6k,Financial Services | 10k-50k Employees | Forbes Global 2000 | 173 years old | New York City +41 more
180,CARS24,3.6,2.6k,Internet | 5k-10k Employees | Indian Unicorn | 8 years old | Gurgaon +142 more
181,Automatic Data Processing (ADP),4.1,2.5k,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 74 years old | New Jersey +21 more
182,Team Lease,3.9,2.5k,Recruitment | 1k-5k Employees | Public | 7 years old | Bangalore/Bengaluru +276 more
183,Pidilite Industries,4.3,2.5k,Chemicals | 5k-10k Employees | Public | 64 years old | Mumbai +213 more
184,Cgi Group,4.2,2.5k,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 47 years old | Montreal +19 more
185,Atos,3.8,2.5k,IT Services & Consulting | 201-500 Employees | Forbes Global 2000 | 26 years old | Vilnius +37 more
186,Bharat Electronics,4.1,2.4k,Consumer Electronics & Appliances | 5k-10k Employees | Fortune India 500 | 69 years old | Bangalore/Bengaluru +41 more
187,Publicis Sapient,3.6,2.4k,IT Services & Consulting | 10k-50k Employees | 33 years old | New York +21 more
188,Alembic Pharmaceuticals,4,2.4k,Pharma | 10k-50k Employees | Public | 116 years old | Vadodara/Baroda +133 more
189,Alkem Laboratories,3.9,2.4k,Pharma | 10k-50k Employees | Public | 50 years old | Mumbai +141 more
190,Hindalco Industries,4.2,2.4k,Metals & Mining | 10k-50k Employees | Public | 65 years old | Mumbai +75 more
191,Indian Air Force,4.6,2.4k,Defence & Aerospace | 1 Lakh+ Employees | 91 years old | New Delhi +108 more
192,Wipro Infotech,4.1,2.4k,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 78 years old | Bangalore +117 more
193,Hindustan Coca Cola Beverages,4.3,2.4k,Beverage | 5k-10k Employees | 26 years old | Bangalore +199 more
194,DCB Bank,3.9,2.4k,Banking | 5k-10k Employees | Fortune India 500 | 93 years old | Mumbai +292 more
195,Access Healthcare,3.9,2.4k,IT Services & Consulting | 5k-10k Employees | 12 years old | Dallas +26 more
196,R1 RCM,3.9,2.4k,BPO | 5k-10k Employees | 20 years old | Murray +23 more
197,Vishal Mega Mart,3.8,2.4k,Retail | 10k-50k Employees | 15 years old | Gurgaon/Gurugram +304 more
198,Wipro Consumer Care & Lighting,3.8,2.4k,FMCG | 1k-5k Employees | 78 years old | Bangalore/Bengaluru +88 more
199,ABB Group,4.1,2.4k,Electrical Equipment | 1k-5k Employees | Public | 35 years old | Zurich +92 more
200,Glenmark Pharmaceuticals,4,2.3k,Pharma | 10k-50k Employees | Public | 46 years old | Mumbai +127 more
201,CMS IT Services,3.1,2.3k,IT Services & Consulting | 5k-10k Employees | Startup | 9 years old | Bangalore +136 more
202,Axis Direct,3.9,2.3k,Financial Services | 1k-5k Employees | 12 years old | San Mateo +267 more
203,Ipca Laboratories,4,2.3k,Pharma | 10k-50k Employees | Public | 74 years old | Mumbai +113 more
204,Maersk,4.3,2.3k,Logistics | 10k-50k Employees | 119 years old | Copenhagen +31 more
205,Tata AIA Life Insurance,4.1,2.3k,Insurance | 10k-50k Employees | 22 years old | Mumbai +282 more
206,ITC Infotech,3.5,2.3k,IT Services & Consulting | 10k-50k Employees | 23 years old | Bangalore/Bengaluru +46 more
207,NatWest Group,4.1,2.3k,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon/Gurugram +22 more
208,Bank of America,4.4,2.3k,Banking | 10k-50k Employees | Fortune India 500 | 25 years old | Charlotte +27 more
209,DTDC Express,3.8,2.3k,Logistics | 1k-5k Employees | 33 years old | Bangalore/Bengaluru +217 more
210,Aarti Industries,4.1,2.3k,Agro Chemicals | 5k-10k Employees | Public | 48 years old | Mumbai +41 more
211,MRF Tyres,3.7,2.3k,Auto Components | 10k-50k Employees | Public | 77 years old | Chennai +161 more
212,Honda Motorcycle & Scooter,4.2,2.3k,Automobile | 5k-10k Employees | 24 years old | Gurgaon/Gurugram +199 more
213,Aakash Educational Services,3.6,2.3k,EdTech | 10k-50k Employees | 35 years old | New Delhi +191 more
214,Paras Hospital,4.6,2.3k,Healthcare | 5k-10k Employees | 17 years old | Gurgaon/Gurugram +39 more
215,24/7 Customer,3.6,2.3k,BPO | 5k-10k Employees | 23 years old | San Jose +22 more
216,Reliance Nippon Life Insurance,3.9,2.3k,Insurance | 10k-50k Employees | 23 years old | Mumbai +417 more
217,Jindal Steel and Power,3.9,2.2k,Iron & Steel | 5k-10k Employees | Fortune India 500 | 44 years old | Delhi/NCR +100 more
218,Berger Paints,3.7,2.2k,Chemicals | 1k-5k Employees | Public | 100 years old | Kolkata +216 more
219,Conduent,3.6,2.2k,BPO | 5k-10k Employees | 6 years old | Florham Park +20 more
220,HDFC Ergo General Insurance,4,2.2k,Insurance | 10k-50k Employees | Public | 21 years old | Mumbai +214 more
221,Utkarsh Small Finance Bank,3.9,2.2k,Banking | 10k-50k Employees | Public | 14 years old | Varanasi +278 more
222,PolicyBazaar,3.4,2.2k,Internet | 10k-50k Employees | Public | 15 years old | Gurgaon +69 more
223,RBL Bank,3.7,2.2k,Banking | 10k-50k Employees | Public | 80 years old | Mumbai +198 more
224,Indiabulls Home Loans,3.8,2.2k,NBFC | 5k-10k Employees | Public | 18 years old | Gurgaon/Gurugram +178 more
225,Escorts Kubota Limited,4.1,2.2k,Automobile | 1k-5k Employees | Public | 63 years old | Faridabad +118 more
226,GATI-KWE,4,2.2k,Logistics | 1k-5k Employees | 11 years old | Hyderabad/Secunderabad +154 more
227,Shoppers Stop,4.2,2.2k,Retail | 5k-10k Employees | Public | 32 years old | Mumbai +62 more
228,Carelon Global Solutions,4,2.2k,IT Services & Consulting | 5k-10k Employees | Hyderabad/Secunderabad +9 more
229,Cogent E Services,3.4,2.2k,BPO | 10k-50k Employees | Conglomerate | 19 years old | Noida +32 more
230,Ceat Tyres,4,2.2k,Auto Components | 5k-10k Employees | Public | 65 years old | Mumbai +101 more
231,GeBBS Healthcare Solutions,3.7,2.2k,BPO | 5k-10k Employees | 18 years old | Culver City +13 more
232,Indian Oil Corporation,4.4,2.2k,Oil & Gas | 10k-50k Employees | Fortune India 500 | 64 years old | Delhi/NCR +232 more
233,Kotak Mahindara Life Insurance,3.8,2.2k,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +194 more
234,PNB MetLife,3.4,2.2k,Insurance | 5k-10k Employees | Conglomerate | 22 years old | Mumbai +302 more
235,Dabur,3.8,2.2k,FMCG | 5k-10k Employees | Public | 139 years old | Ghaziabad +228 more
236,Reliance Digital,4.2,2.2k,Retail | 5k-10k Employees | 16 years old | Mumbai +282 more
237,ACC,3.9,2.2k,Building Material | 5k-10k Employees | Public | 87 years old | Mumbai +204 more
238,JK Cement,4.1,2.1k,Building Material | 1k-5k Employees | Public | 49 years old | Gurgaon/Gurugram +214 more
239,S&P Global,4.2,2.1k,IT Services & Consulting | 5k-10k Employees | Public | 106 years old | New York City +20 more
240,Marpu Foundation,4.9,2.1k,Non-Profit | 11-50 Employees | 7 years old | Hyderabad/Secunderabad +44 more
241,Jubilant Foods Works,3.8,2.1k,Hospitality | 10k-50k Employees | Public | 28 years old | Noida +181 more
242,IndiGo,3.6,2.1k,Aviation | 10k-50k Employees | Fortune India 500 | 18 years old | Gurgaon/Gurugram +83 more
243,Torrent Pharmaceuticals,3.9,2.1k,Pharma | 10k-50k Employees | Public | 52 years old | Ahmedabad +91 more
244,Reliance SMSL,4,2.1k,BPO | 1k-5k Employees | Public | 16 years old | Mumbai +461 more
245,HARMAN,3.8,2.1k,Consumer Electronics & Appliances | 5k-10k Employees | Public | 14 years old | Stamford +25 more
246,Bajaj Electricals,4.1,2.1k,Consumer Electronics & Appliances | 1k-5k Employees | Public | 85 years old | Mumbai +183 more
